# index x y press_ms wait_ms radius
1 166 865 100 500 18
2 314 661 100 5000 18
3 1451 814 100 5000 18
4 691 864 100 200 18
5 1555 474 100 200 18
6 792 860 100 200 18
7 1552 475 100 200 18
8 896 860 100 200 18
9 1552 474 100 200 18
10 990 866 100 200 18
11 1553 472 100 200 18
12 1110 860 100 200 18
13 1499 467 100 200 18
14 577 883 100 200 18
15 1553 475 100 200 18
16 457 881 100 200 18
17 1553 475 100 200 18
18 1552 476 100 200 18
19 1550 475 100 200 18
20 1551 474 100 200 18
21 1553 474 100 200 18
22 1551 476 100 200 18
23 359 873 100 200 18
24 1241 729 100 200 18
25 1477 547 100 200 18
26 1474 405 100 200 18
27 1307 268 100 200 18
28 479 652 100 200 18
29 399 369 100 200 18
30 688 150 100 200 18
31 1093 118 100 200 18
32 255 478 100 15000 18
33 1111 874 100 200 18
34 1068 310 100 200 18
35 1198 435 100 200 18
36 1110 573 100 200 18
37 1215 859 100 200 18
38 1010 379 100 200 18
39 1023 516 100 200 18
40 1313 857 100 200 18
41 972 441 100 200 18
42 690 886 100 200 18
43 792 882 100 200 18
44 896 879 100 200 18
45 994 879 100 30000 18
46 196 762 100 200 18
47 961 589 100 500 18
48 889 818 100 5000 18
